CODE_PEITSCH,CLUSTER,HYDROPHOBIC_SCORE,SIZE,SSR,COUNT,NORM_DOMAIN,NORM_SEGMENT
217,11011001,7,8,H,267,1.9886,2.0004
209,11010001,5,8,e,262,1.9754,2.0568
149,10010101,4,8,E,260,2.0419,1.9426
177,10110001,5,8,e,259,1.8387,1.9001
275,100010011,5,9,H,255,1.9035,2.1237
169,10101001,4,8,E,245,1.9351,2.0021
121,1111001,11,7,E,245,2.0298,2.005
273,100010001,3,9,H,243,1.8755,1.8142
401,110010001,5,9,H,240,1.9203,1.7795
141,10001101,5,8,e,238,1.8643,1.8357
109,1101101,7,7,e,237,1.9534,2.0331
117,1110101,8,7,E,234,1.921,2.0055
165,10100101,4,8,E,230,2.0429,1.8392
91,1011011,7,7,E,228,2.0723,2.0215
115,1110011,9,7,e,222,1.9916,1.9742
79,1001111,11,7,E,222,2.0383,1.8418
197,11000101,5,8,e,219,2.1125,1.992
163,10100011,5,8,e,218,1.7695,1.8271
107,1101011,7,7,E,209,2.0393,2.0971
87,1010111,8,7,E,202,2.0561,1.9042
103,1100111,9,7,e,199,1.9902,1.9673
93,1011101,8,7,E,198,2.1477,2.0429
305,100110001,5,9,H,195,2.0564,1.8373
393,110001001,5,9,h,191,2.0471,1.9372
211,11010011,7,8,e,189,1.9253,1.787
179,10110011,7,8,h,188,2.1799,1.9168
409,110011001,7,9,H,187,2.0533,1.9664
403,110010011,7,9,H,185,2.0804,1.8964
185,10111001,8,8,e,183,1.9567,2.0845
307,100110011,7,9,H,182,1.8913,1.8611
205,11001101,7,8,h,171,1.8196,1.8309
157,10011101,8,8,e,171,1.6573,1.5789
281,100011001,5,9,H,164,2.0331,2.019
241,11110001,11,8,E,162,1.7824,1.9123
167,10100111,8,8,e,158,2.0401,1.9213
291,100100011,5,9,H,152,2.1745,1.9896
283,100011011,7,9,h,150,1.836,1.7008
203,11001011,7,8,e,149,1.745,1.717
297,100101001,4,9,e,148,1.9222,1.7024
329,101001001,4,9,h,148,1.8675,1.8166
151,10010111,8,8,e,146,1.9433,1.7659
171,10101011,6,8,E,144,1.8683,1.7408
173,10101101,6,8,E,143,2.0488,1.8474
337,101010001,4,9,e,142,1.8777,1.8283
233,11101001,8,8,E,140,1.7127,1.7102
277,100010101,4,9,e,140,1.7552,1.7174
229,11100101,8,8,E,135,1.8354,1.7106
213,11010101,6,8,E,135,1.9183,1.7122
227,11100011,9,8,e,131,1.81,1.7727
181,10110101,6,8,E,130,1.9308,1.8199
433,110110001,7,9,H,126,1.6176,1.5235
293,100100101,4,9,e,123,1.7705,1.7707
395,110001011,7,9,h,119,1.8087,1.6722
279,100010111,8,9,e,115,2.1529,1.9432
199,11000111,9,8,E,114,2.0763,1.8361
325,101000101,4,9,e,114,1.7342,1.6435
457,111001001,8,9,e,113,1.6419,1.489
63,111111,21,6,E,112,1.7164,1.789
581,1001000101,4,10,H,107,1.6608,1.716
