PEITSCH_CODE,ALL_ORDER,A_ORDER,B_ORDER,C_ORDER,D_ORDER,ALL_UNORDER,A_UNORDER,B_UNORDER,C_UNORDER,D_UNORDER
1429,89.50401502482877,93.33333333333333,84.0,85.31363749993446,89.78643691050146,86.9333593207505,93.33333333333333,84.0,82.76233169920074,85.94380513867169
1613,91.87622555939859,100.0,90.70372365470406,88.50418103708853,96.96969696969695,90.557018157576,100.0,90.19090314188355,85.6726409858094,96.96969696969695
1585,89.31512743449996,93.10344827586206,93.25007780890134,86.63809316145861,89.12346105906478,86.91457656547931,93.10344827586206,89.92909015458035,83.30936012580995,89.12346105906478
2483,96.35616797437794,92.70596276788227,100,89.25925925925925,100.0,95.75842584722403,92.70596276788227,100,82.22222222222221,100.0
711,89.74052539835441,93.54838709677419,90.10172616054969,90.45536291841711,86.47938552195936,88.04539366848444,93.54838709677419,88.47209653092006,86.97036041863628,84.41846995510153
2257,92.3747549691595,97.66666666666667,83.16218367688955,91.82538984281987,96.96969696969695,90.34387527874429,97.66666666666667,79.65237975532094,89.15837080509816,96.96969696969695
1167,91.93881210223307,97.61904761904763,87.96148620710024,88.6981912311077,94.32367149758454,90.4688566841955,97.61904761904763,84.45271427727567,86.23634898632496,94.32367149758454
1809,91.65121307036046,89.60317836812145,94.55544455544457,90.63880184295334,97.70114942528737,90.58087218871333,89.01494307400381,94.55544455544457,88.72644240302915,97.70114942528737
4403,92.37333783881073,95.52983248635422,100,88.43867959007717,96.73046251993621,90.7801838901844,93.751176359872,100,86.24133892070878,96.73046251993621
1235,93.94220163062036,96.23532623532623,90.27098788822927,92.34513467494844,94.66736514342743,93.01810955381893,95.15424515424515,88.73252634976772,90.41565371448276,94.66736514342743
1481,90.64501516269968,92.2160062160062,100,89.2224895386222,90.0,88.11461314892581,91.44677544677545,100,85.54900853413075,80.0
851,90.72393136691149,90.61403508771929,83.33333333333334,90.6453016717025,93.0764533883729,88.79509751333482,90.61403508771929,83.33333333333334,86.97146477258882,90.89998280013761
977,89.94489846484183,100,90.02525252525253,88.06837968336835,91.8270944741533,88.46751515974712,100,82.13383838383838,86.50649739740929,91.8270944741533
1189,91.51861154574885,85.74074074074075,89.66559670120043,91.66525177154992,95.77131564088087,90.64954274350026,85.74074074074075,89.66559670120041,90.34184702330857,95.13639500596022
591,92.53820848843553,96.96969696969695,79.3103448275862,86.47999202021926,93.89523540369406,91.82271204540613,96.96969696969695,79.3103448275862,83.0659384409483,93.89523540369406
1457,91.70546423988625,94.94444154473385,83.33333333333334,89.2634843337169,90.14287991737851,89.99901107456748,94.94444154473385,83.33333333333334,86.87366831689552,88.52231502475479
2385,92.63344995308194,100.0,100,89.53497584352598,93.27731092436973,91.14201115826513,100.0,100,86.9634063526168,93.27731092436973
1379,93.67872661772157,98.18181818181817,100.0,89.10364095786416,90.8695652173913,93.13268243433728,98.18181818181817,100.0,87.17415377837698,90.8695652173913
2217,92.02368480013004,96.35997988939167,85.99286351010488,92.1025641025641,89.9694208314898,91.244624942923,96.35997988939167,84.41710593434732,89.43589743589745,87.13249299456196
4369,93.84743472532584,97.13232094184475,91.37017797017798,92.05888237041165,94.61113653699466,92.86411563090658,97.13232094184475,90.62943722943723,90.53245231220662,92.97780320366132
5265,92.21741070725922,90.23892773892776,90.45053490503753,91.05889584326813,88.23529411764706,91.10604329946553,90.23892773892776,87.87807113692159,89.37729540112844,88.23529411764706
1223,92.29095991933485,100.0,83.94031054648114,89.0004118536709,97.82352941176471,90.5647013214184,100.0,78.13268804194394,86.5898334754846,97.82352941176471
2325,92.67628460085014,100.0,97.14285714285714,89.54431010858154,90.36120303008751,91.74078045618928,100.0,97.14285714285714,88.13793657577123,88.85744363159127
4645,89.631246244078,85.71428571428571,91.10804537440693,88.84330116496177,87.05497944451518,88.01972102924505,85.71428571428572,89.36013714228817,86.16752727941777,84.51188981809223
1641,91.90349325792681,89.145657622957,95.83333333333333,91.07053389667365,100,89.88328941596245,86.98982961669729,91.66666666666667,88.50335570278845,100
2633,90.79594286875772,92.74509803921569,93.45928924876294,89.45462889544059,90.43650793650794,89.50215402837642,92.74509803921569,93.45928924876294,87.71251406111314,90.43650793650794
1427,91.69929704748904,84.61538461538461,100,91.03550190673113,93.09205807927036,90.47200031046359,84.61538461538461,100,89.39949919976065,91.83155387758968
1489,94.6224123858985,97.42424242424242,91.01709956709956,93.82138215939383,94.0711462450593,94.28938157757378,97.42424242424242,91.01709956709956,93.08984316698528,91.04084321475625
1817,91.30251572943686,93.25396825396827,91.86928705968953,91.29493736738824,100,90.04669303346104,93.25396825396827,91.86928705968953,90.3710026800127,100
4401,93.01948456085609,95.95959595959596,100,90.06720326491596,95.82352941176471,91.81207095745387,95.95959595959596,100,88.37426152908816,94.64705882352942
9289,90.48363028389824,96.43363801969983,81.40378140378141,89.10405188007459,91.54304029304029,88.11535230809974,95.29837231921674,75.80937580937581,86.43986262105776,91.54304029304029
1123,92.10500775410088,100.0,93.25780915653134,91.1452536924817,94.17438491416986,90.79750941682482,100.0,92.83764108930443,89.51235362551569,92.22912587213662
6289,91.43527017403517,95.26942355889724,100,90.24872697518768,100.0,88.92753574592747,95.26942355889724,100,86.50364928390701,100.0
1683,91.2495907863688,97.77777777777779,90.0,90.23594721071427,86.30779848171153,89.30432304904366,97.77777777777779,90.0,86.63971389204309,83.33160800552106
1587,93.92601014022739,90.82601078378191,100,91.68987735133807,96.06481481481482,93.47062393414866,90.82601078378191,100,90.82159553568783,96.06481481481482
1195,94.5048844812727,100,94.94481899161586,95.38111844563457,94.82600732600733,93.77033092153343,100,94.15745966918865,94.19541661477146,94.23076923076923
947,94.59929567514746,95.84335664335666,100,91.54861178187748,89.19612932198746,93.75086476303414,95.04335664335665,100,91.54861178187748,87.49323077126282
1251,89.60339330479843,78.94736842105263,97.70114942528737,90.39276776743336,89.24602054733067,87.59142888891463,78.94736842105263,97.70114942528737,86.87769088321753,87.04870922562321
559,88.17503395691303,100,72.58731479555279,88.10711959835987,91.73039816989902,85.87434372376798,100,72.58731479555279,85.45105627697396,90.34201673036667
3345,93.0726653915776,100.0,91.70114942528737,90.79497977078388,96.66666666666667,91.93092511439106,100.0,91.70114942528737,88.97096850682027,96.66666666666667
475,93.4114996412239,96.67388167388168,94.87179487179488,93.75,89.48412698412699,92.78309049235439,96.11832611832611,94.87179487179488,93.75,89.48412698412699
2601,93.86537017242281,93.4272678475577,88.8888888888889,92.94732775832469,100.0,92.78305656528674,91.08158883521203,88.8888888888889,90.97600159345014,100.0
