PEITSCH_CODE,ALL_ORDER,A_ORDER,B_ORDER,C_ORDER,D_ORDER,ALL_UNORDER,A_UNORDER,B_UNORDER,C_UNORDER,D_UNORDER
2261,94.5734317113106,100.0,89.47368421052632,92.97007340485601,94.24027929510385,94.14670205068293,100.0,89.47368421052632,91.9819311123659,94.00879781362237
1595,86.91149413811233,88.20196796667385,100,85.08607216251745,89.64590347923682,85.10060737861936,88.20196796667385,100,83.81107017418532,88.41133557800224
1819,92.0765639895032,95.79806168952278,92.5925925925926,89.17915208083583,95.41610590564498,90.68667889878162,95.79806168952278,92.5925925925926,84.98658144666763,94.73583379680143
3237,89.02350544071076,100,80.1864801864802,90.77189029573228,89.74597424275392,86.55878034226087,100,73.58197358197357,88.53391413650009,87.35816152941727
2757,93.85997680480965,91.30434782608695,91.33080808080808,93.61250463775941,96.07142857142857,93.09146398729594,91.30434782608697,89.24747474747475,92.75092614573775,95.71428571428571
5701,92.41194511459614,100.0,100.0,92.19634696528021,88.8362952836637,91.34331496312993,100.0,100.0,91.32154394304129,86.8362952836637
2737,89.63915534845827,100,82.71600554753651,90.94915460240706,86.04581717827332,87.56246201013599,100,82.28589802065478,89.83767349092592,84.12341858920807
6345,90.49926723165751,87.46504660127849,87.87878787878788,88.7195387676091,97.33333333333333,88.56556376268283,86.85898599521786,84.84848484848484,85.72497377531487,97.33333333333333
3865,91.07935315375411,92.5925925925926,95.61553456290298,88.2632135725439,100,89.11132633548232,85.18518518518519,94.56290298395561,85.62853558590041,100
3365,92.48820243330864,94.91071428571429,82.92169312169312,90.1331914138207,94.5850993160757,90.78198364623596,94.91071428571429,78.0925925925926,88.07754864389219,93.41987087860103
1357,89.16730458640619,100.0,96.48148148148148,86.68066814558915,83.87825877825877,85.61047417602904,100.0,96.48148148148148,81.8641337067762,82.42323232323233
3275,92.53974159167142,97.77777777777779,95.83333333333333,89.67816675720923,90.55336812144212,91.06081271631821,97.77777777777779,95.83333333333333,88.2368820859468,87.36654016445289
2219,92.7744280075139,94.88636363636363,100.0,92.5431239409868,91.66666666666667,91.65306594113126,92.8030303030303,100.0,90.90771503666627,88.8888888888889
2473,88.56444223437313,82.66666666666667,82.34523809523809,91.81284549287791,89.21316753422016,86.42968063738735,82.66666666666667,81.1415343915344,90.6621121365497,88.26078658183921
883,90.7193671940323,89.51008926600775,67.12863401035445,90.28419958252802,91.66666666666666,88.97910615522098,88.93831933939911,48.25965750696935,88.69778795759618,91.66666666666666
8773,93.66649722073001,91.80190199835936,100,88.52645502645503,94.50836012158756,92.99008068333929,91.53016286792457,100,86.0026455026455,94.50836012158756
3625,90.17742345874471,100,85.34644692539429,90.71809654469747,94.44444444444446,89.17220128601889,100,85.34644692539429,89.47827458787579,94.44444444444446
1873,92.02366124473743,100,91.95772797593526,86.94498387946665,94.33971496738027,90.99303812931846,100,91.95772797593524,84.8249327938983,93.77490015256548
1191,91.61021802132734,100.0,93.96825457266013,90.08303832679708,91.26984126984128,89.85886088039986,100.0,92.32372579340652,87.87130916556549,91.26984126984128
11333,84.61706070894368,92.0,78.40576862695224,87.41540501866724,77.77777777777779,81.70058344646976,92.0,75.13126509911459,83.64481096688655,70.37037037037037
2289,90.92692136039122,95.71868131868132,100.0,88.18318584307562,90.18110516934046,89.35001106036188,93.03736263736263,100.0,85.94578524375993,88.84777183600713
379,90.98608830228572,90.67032967032966,90.0,88.45959727187355,94.840374223672,89.68967909285628,89.52747252747253,90.0,85.54406000438053,93.29092219983667
2603,89.40230432379813,86.60493827160495,92.36940836940836,87.1720717173954,86.22895622895624,87.23670075463843,85.37037037037037,91.15728715728716,84.19764181764994,86.22895622895624
2343,92.07430284260073,90.47667832447293,82.82828282828284,88.96616733675192,95.16694725028059,90.71227994257593,89.9475777953724,82.82828282828284,87.12794631251613,93.93237934904602
4529,93.21830798067236,98.46153846153847,74.86772486772486,92.05759074093605,79.45386192754616,92.23237106153873,98.46153846153847,71.16402116402116,90.66954161370195,77.45386192754613
2199,93.34617805452348,98.10334110334111,89.14823290109331,93.26729720453078,91.1741575131668,92.2729518351048,98.10334110334111,84.70378845664887,92.27269246608367,89.84839993740923
1175,92.3302308101535,100,91.2850770087612,92.16886589852372,94.89285714285714,91.05571903456655,100,89.74661547029967,89.95006561152778,94.89285714285714
1141,88.45526031288898,100,85.30573638947455,90.19957422516975,89.49985308808839,86.54371811295766,100,81.736242929444,87.83196741506646,89.49985308808837
2599,90.04432257314397,100.0,87.73991929595427,87.58031780920832,89.69135802469135,87.42702310827606,100.0,86.02054542280017,84.41852090033795,89.69135802469135
6439,90.87711946392875,100,87.53571428571429,88.53112280234747,93.75,90.0319102147855,100,87.53571428571429,87.34725894372026,93.75
2459,93.55598174217889,97.08994708994709,73.33333333333333,91.63255632499192,93.00144300144301,92.25142818818851,97.08994708994709,73.33333333333334,89.90206029489116,91.48629148629148
1497,92.6446162404175,93.66776307438566,86.77248677248679,91.64848315186971,84.61538461538461,91.28516735760043,92.00042865305406,86.77248677248679,88.79795266910489,84.61538461538461
2447,91.35824111189272,38.46153846153847,100,91.85394691511047,90.54044201412623,89.79922488589293,38.46153846153846,100,90.34077443336291,89.63135110503532
3173,92.67380627147989,100,92.61573666607991,91.57080877506493,100.0,91.24017697093096,100,91.16646130376108,90.28590891522178,100.0
2963,89.09048805277013,87.05099590657032,100,88.91960711586515,92.56965944272446,86.57042509965966,87.05099590657032,100,85.08799481002019,89.0608875128999
19601,89.96803896623139,85.46739831712411,100,85.25289688524983,93.75247870337684,87.94788123990253,83.49013653300902,100,80.2589659795542,92.87306710967952
